"Description_1";"Description_2";"id"
"Los Angeles Luv";" pineapple juice, crème de banane, Bourbon, lemon juice, triple sec";1373.0
"Louis Cocktail";" gin, dry vermouth, Cointreau, Grand Marnier";1374.0
"Louis Special Cocktail";" pineapple juice, gin, dry vermouth, sweet vermouth";1375.0
"Louisville Stinger";" Bourbon, crème de menthe, aromatic bitters";1376.0
"Lover's Delight Cocktail";" Cognac, fruit garnish, Cointreau";1377.0
"Lover's Delight Cocktail Variation";" gin";1378.0
"Lovum' And Leavem' Cocktail";" gin, lime juice, triple sec, egg white, grenadine";1379.0
"Lucie Cocktail";" Grand Marnier, white rum, lime juice, Curaçao";1380.0
"Lucien Gaudin Cocktail";" gin, dry vermouth, Campari, Cointreau";1381.0
"Luigi Cocktail";" gin, tangerine juice, dry vermouth, Cointreau, grenadine";1382.0
"Lupe Velez Cocktail";" white rum, orange juice, kummel, pimento dram";1383.0
"Lutkins Special Cocktail";" dry vermouth, gin, orange juice, apricot flavored brandy";1384.0
"Mabel Berra Cocktail";" Swedish Punch/Punsch, sloe gin, lime juice";1385.0
"Mabel Tea Cocktail";" brandy, lime juice, Amer Picon";1386.0
"Mac (whisky)";" ice, ginger wine, blended Scotch";1387.0
"Macaroni Cocktail";" pastis, sweet vermouth";1388.0
"Ma Cherie Cocktail";" gin, cherry flavored brandy";1389.0
"Macho";" Tequila, pastis";1390.0
"Macka";" gin, dry vermouth, sweet vermouth, crème de cassis";1391.0
"Mackinnon";" Drambuie, white rum, lime juice, lemon juice";1392.0
"Madam Lou Cocktail";" dry vermouth, gin, pineapple juice";1393.0
"Mad Bull";" tomato juice, aquavit, beef bouillon, lime juice";1394.0
"Madeira Mint Flip";" Madeira, mint-flavored liqueur or schnapps or cocoa, egg, sugar";1395.0
"Madelaine Cocktail";" Drambuie, white rum, lime juice, lemon juice";1396.0
"Maidens Hair Cocktail";" gin, pastis, grenadine";1397.0
"Maiden's Kiss";" Benedictine, Yellow Chartreuse, maraschino liqueur, Curaçao, crème de rose";1398.0
"Magnolia Blossom Cocktail";" gin, lemon juice, cream, grenadine";1399.0
"Mahukona";" white rum, lemon juice, triple sec, sugar, Angostura bitters";1400.0
"Mae West";" brandy, egg yolk, sugar";1401.0
"Maison Charles Cocktail";" white rum, lime juice, sugar";1402.0
"Makalle";" Galliano, coffee, vodka, Angostura bitters";1403.0
"Malahut Punch";" brandy, lemon juice, pastis, sugar";1404.0
"Malibu Cocktail";" Curaçao, anisette, Cointreau";1405.0
"Manana Cocktail";" white rum, lemon juice, apricot flavored brandy, grenadine";1406.0
"Mandarin Cocktail";" dry vermouth, gin, Mandarette, Curaçao";1407.0
"Mangann Cocktail";" Dubonnet, gin, Curaçao, lemon juice";1408.0
"Mango Cooler";" mango nectar, orange juice, vodka, Cointreau, lemon juice";1409.0
"Mango Mint Cocktail";" mango nectar, white rum, crème de menthe, cream";1410.0
"Manhattan (perfect)";" Bourbon, sweet vermouth, dry vermouth";1411.0
"Manhattan Deluxe";" Southern Comfort, dry vermouth, aromatic bitters";1412.0
"Manhattan Special";" Bourbon or rye whiskey, Benedictine, sweet vermouth, aromatic bitters";1413.0
"Manhattan Special Variation";" rye whiskey, sweet vermouth, Campari";1414.0
"Manhattan Cooler";" red wine, lemon juice, white rum, sugar";1415.0
"Manila Hotel Julep";" Bourbon, ice, sprig of mint or water or sugar, dark rum, sugar";1416.0
"Maragato Cocktail";" white rum, sweet vermouth, dry vermouth, kirsch, lime juice, lemon juice, sugar";1417.0
"Marble Hill Cocktail";" gin, Dubonnet, orange juice";1418.0
"Marcia Delano's Northern";" white rum, brandy, egg, sugar";1419.0
"Margaes Cocktail";" gin, pear juice, lemon juice";1420.0
"Margaret Duffy Cocktail";" Swedish Punch/Punsch, brandy, aromatic bitters";1421.0
"Marguerite Cocktail";" gin, dry vermouth, orange bitters";1422.0
"Marguerite Cocktail #2";" egg white, gin, lime juice, grenadine, pastis, sugar";1423.0
"Marguerite Fizz";" gin, lemon juice, grenadine, aromatic bitters";1424.0
"Marlborough Cocktail";" sweet vermouth, cocktail Sherry, orange bitters";1425.0
"Mariner's Grog";" Jamaican rum, lemon juice, sugar";1426.0
"Marny Cocktail";" gin, Grand Marnier";1427.0
"Marsala Martini";" gin, Marsala, dry vermouth";1428.0
"Martha";" Bourbon, pastis, maraschino liqueur, orange bitters";1429.0
"Martini Holland Style";" genever gin, dry vermouth";1430.0
"Martinique Swizzle";" Martinique rum, lemon juice, pastis, sugar, Angostura bitters";1431.0
"Marvel Cocktail";" Jamaican rum, sirop de citron or lemon juice, grenadine";1432.0
"Mary Ann Cocktail";" orange juice, dry vermouth, Dubonnet";1433.0
"Mary Ann";" Kahlua, white rum";1434.0
"Mary Jane Cocktail";" Dubonnet, gin, orange juice, dry vermouth";1435.0
"Mary Rose Cocktail";" Port, cherry liqueur, gin";1436.0
"Master Of The Hounds Cocktail";" rye whiskey, cherry flavored brandy, Angostura bitters";1437.0
"Matinee Cocktail";" egg white, gin, lime juice, sambuca, cream";1438.0
"Max Baer Cocktail";" apple brandy, gin, pastis, grenadine";1439.0
"Maximillian";" Galliano, gin";1440.0
"Mayaka Hotel Special Cocktail";" gin, Cointreau, pineapple juice, lime juice";1441.0
"May Cocktail";" Bourbon or rye whiskey, strawberry-flavored liqueur, kirsch";1442.0
"Mayfair Cocktail";" gin, clove, orange juice, apricot flavored brandy, pimento dram";1443.0
"May Flower Cocktail";" Dubonnet, brandy";1444.0
"Mc Kinley Punch";" grenadine, Bourbon, lemon juice";1445.0
"Mc Kinley's Delight";" Bourbon, sweet vermouth, cherry flavored brandy or cherry liqueur, pastis";1446.0
"Mc Laughlin Cocktail";" crème de cacao, Angostura bitters";1447.0
"Mecca Cocktail";" dry vermouth, gin, orange juice, sweet vermouth";1448.0
"Mc Crory";" Bourbon or rye whiskey, sugar, aromatic bitters";1449.0
"Mc Gregor's Egg Nog";" cocktail Sherry, egg, Cognac, white rum, sugar";1450.0
"Medford Cocktail";" gin, orange juice, dry vermouth";1451.0
"Medieval Candle";" Southern Comfort, crème de menthe";1452.0
"Meehouland (Fire Eating Devil) Cocktail";" sloe gin, dry vermouth, sweet vermouth, orange bitters";1453.0
"Melba Cocktail";" white rum, Swedish Punch/Punsch, lime juice, grenadine, pastis";1454.0
"Melba Champagne Cocktail";" framboise eau de vie or framboise liqueur";1455.0
"Melon Cocktail";" gin, maraschino liqueur, lemon juice";1456.0
"Memphis Sling Shot";" 7-Up, Tennessee whiskey, sloe gin, Rose's Lime Juice";1457.0
"Menlo Club Cocktail";" lemon juice, white rum, Cointreau, gin, sugar";1458.0
"Merry Go Round Cocktail";" gin, dry vermouth, sweet vermouth";1459.0
"Metropole Cocktail";" dry vermouth, Cognac, orange bitters, Peychaud bitters";1460.0
"Mexacola";" Kahlua, Tequila";1461.0
"Mexican Banana";" Tequila, crème de banane";1462.0
"Mexican Banana Variation";" crème de banane, vodka, Kahlua";1463.0
"Mexican Banger";" Tequila, Galliano or Kahlua";1464.0
"Mexican Banger Variation";" vodka";1465.0
"Mexican El Diablo";" Tequila, lime juice, crème de cassis";1466.0
"Mexican Itch";" Tequila";1467.0
"Mexican Mother";" Kahlua, Curaçao";1468.0
"Mexican Screw";" Tequila";1469.0
"Mexican Stinger";" Tequila, crème de menthe";1470.0
"Mexican Zipper";" Tequila, crème de menthe";1471.0
"Mexico Pacifico Cocktail";" Tequila, passion fruit syrup, lime juice";1472.0
"Mexico Rose Cocktail";" Tequila, crème de cassis, lime juice";1473.0
"Miami Sunset";" Bourbon, triple sec, grenadine";1474.0
"Mickey (or Mickie)";" Jamaican rum, Bourbon, Curaçao, grenadine";1475.0
"Mickey Boy Cocktail";" gin, dry vermouth, crème de menthe, pastis";1476.0
"Mickey Finn Cocktail";" dry vermouth, gin, crème de menthe, pastis";1477.0
"Mickie Walker Cocktail";" blended Scotch, sweet vermouth, grenadine, lemon juice";1478.0
"Middletown Cocktail";" Jamaican rum, lemon juice, egg white, grenadine, genever gin";1479.0
"Midnight Cocktail";" apricot flavored brandy, Curaçao, lemon juice";1480.0
"Midnight Cocktail #2";" dry vermouth, sweet vermouth, gin, pastis, orange juice";1481.0
"Miguel Ligero Cocktail";" white rum, lemon juice, Curaçao, sugar, Angostura bitters";1482.0
"Milan Cocktail";" white rum, Bourbon, orange juice";1483.0
"Milano";" Galliano, lime juice, gin";1484.0
"Milk And Honey";" Irish whiskey";1485.0
"Millie";" Grand Marnier, Drambuie";1486.0
"Millie Variation";" Grand Marnier, Drambuie";1487.0
"Millie Special";" Jamaican rum, Curaçao, Bourbon, grenadine";1488.0
"Million Cocktail";" Jamaican rum, lime juice, sugar, Angostura bitters";1489.0
"Milwaukee Cocktail";" rye whiskey, apricot flavored brandy";1490.0
"Milwaukee Madness";" Bourbon, peppermint schnapps, aromatic bitters";1491.0
"Mingo's Delight";" egg white, Galliano, lime juice";1492.0
"Minneapolis Hustler";" Bourbon, Curaçao, sweet vermouth, lime juice";1493.0
"Minnehaha Cocktail";" orange juice, gin, sweet vermouth, dry vermouth";1494.0
"Mint Cocktail";" white wine, gin, crème de menthe";1495.0
"Mint On Rocks";" crème de menthe";1496.0
"Minteq";" Tequila, lemon juice, sugar";1497.0
"Miracle Cocktail (see Corpse Reviver #2)";" Lillet Blanc, gin, lemon juice, Cointreau, pastis";1498.0
"Missionary's Downfall";" sprig of mint, pineapple slice, lime juice, white rum, peach-flavored brandy liqueur, rock candy syrup";1499.0
"Mississippi Punch";" white rum, brandy, Bourbon or rye whiskey, lemon juice, sugar, aromatic bitters";1500.0
"Missouri Cooler";" applejack, crème de cacao";1501.0
"Missouri Mule";" gin, crème de cassis, lemon juice";1502.0
"Mister Ernie Sutton's Gin Blind Cocktail";" gin, Curaçao, brandy, orange bitters";1503.0
"Mister Manhattan Cocktail";" sprig of mint, gin, orange juice, lemon juice, sugar";1504.0
"Mister Manhattan Cocktail Variation";" gin, orange juice, lemon juice";1505.0
"Mixed Mocha Frappe";" coffee-flavored liqueur, triple sec, crème de cacao, crème de menthe";1506.0
"M.j. Cocktail";" gin, sweet vermouth, crème de cacao";1507.0
"Mobile Mule";" white rum, lime juice";1508.0
"Modder (river) Cocktail";" gin, Dubonnet, dry vermouth";1509.0
"Modern Lemonade";" sloe gin, cocktail Sherry, lemon juice, sugar";1510.0
"Modern Maid Cocktail";" blended Scotch, Jamaican rum, pastis, lemon juice, orange bitters";1511.0
"Mofuco Cocktail";" white rum, egg, sugar, Angostura bitters";1512.0
"Mojito";" ice, white rum, lime juice, sprig of mint or lime juice or sugar";1513.0
"Mojito Criollo";" ice, white rum, lemon juice, sprig of mint or lemon juice or sugar";1514.0
"Moldau Cocktail";" gin, plum brandy, lemon juice, orange juice";1515.0
"Moll Cocktail";" gin, dry vermouth, sloe gin, sugar, orange bitters";1516.0
"Molly Picon Cocktail";" Amer Picon, gin, sweet vermouth";1517.0
"Mominette Cocktail";" pastis, anisette, grenadine";1518.0
"Monahan Cocktail";" Bourbon or rye whiskey, Amer Picon, sweet vermouth";1519.0
"Monkey Cocktail";" pineapple juice, white rum, Curaçao";1520.0
"Montauk Riding Club Cocktail (variation)";" brandy, Calisay liqueur, lime juice, sugar";1521.0
"Montego Squirrel";" cream, Tia Maria, white rum";1522.0
"Montigni Cocktail";" cream, Cordial Medoc, Curaçao, Cognac";1523.0
"Montmarte Cocktail";" gin, triple sec, sweet vermouth";1524.0
"Montemarte Special Cocktail";" white rum, cream, grenadine";1525.0
"Montpelier Cocktail";" gin, dry vermouth";1526.0
"Monty Cocktail";" cream, Appleton Special Rum, apricot flavored brandy, orgeat, crème de noyeau, pineapple juice, crème de cacao";1527.0
"Monty Special";" white rum, crème de noyeau, crème de banane, crème de cacao, vanilla ice cream";1528.0
"Mood Indigo Cocktail";" egg white, gin, Cognac, parfait amour";1529.0
"Moon Dust";" white rum, Galliano, lemon juice, grenadine, orgeat";1530.0
"Moonlight Cooler";" apple brandy, lemon juice, sugar";1531.0
"Moon Ray Cocktail";" Strega, dry vermouth, gin, anisette, Angostura bitters";1532.0
"Moor Cocktail";" gin, sweet vermouth";1533.0
"Moose Cocktail";" Bourbon, apricot flavored brandy, Angostura bitters";1534.0
"Moose Milk";" Kahlua";1535.0
"Morning After";" pastis, egg white, anisette";1536.0
"Morning Call Cocktail";" pastis, maraschino liqueur, lemon juice";1537.0
"Morning Fizz";" egg white, Bourbon or rye whiskey, lemon juice, pastis";1538.0
"Morning Glory Daisy";" Bourbon or blended Scotch or vodka or gin, egg white, pastis, sugar";1539.0
"Morning Mist";" Galliano";1540.0
"Morning Rose Cocktail";" white rum, lemon juice, Curaçao, grenadine";1541.0
"Moscow Witch";" vodka, Strega";1542.0
"Mother Cocktail";" gin, Cherry Heering, orange juice";1543.0
"Mother Sherman Cocktail";" apricot flavored brandy, orange juice, orange bitters";1544.0
"Mother's Milk Cocktail";" gin, cream, sugar";1545.0
"Mt. Baker Beaker";" dark rum, lemon juice, water, pineapple juice, butter, sugar";1546.0
"Move Over Cocktail";" gin, dry vermouth, Cherry Heering, sweet vermouth, aromatic bitters";1547.0
"Movie Lot Cocktail";" grape juice, Swedish Punch/Punsch";1548.0
"Movito Cocktail";" white rum, lime juice, sugar";1549.0
"Mrs. Solomon Cocktail";" brandy, Curaçao, aromatic bitters";1550.0
"Mud Pie";" Bourbon or rye whiskey, Curaçao, sugar, Peychaud bitters or sugar or ice";1551.0
"Mule Cocktail";" gin, crème de cassis, lemon juice";1552.0
"Mulled Claret";" lemon juice, sugar, nutmeg, cinnamon";1554.0
"Mulled Cider";" lemon juice, white rum, sugar, nutmeg, cinnamon";1555.0
"Mulled Bourbon";" water, Madeira, Lillet Blanc, Bourbon, brown sugar, orange bitters";1556.0
"Mulled Wine";" red wine, clove, cinnamon, allspice, lemon wheel, sugar, aromatic bitters";1557.0
"Muscatel Flip";" Muscatel, brandy, cream, egg, sugar";1558.0
"Muskmelon Cocktail";" white rum, orange juice, lime juice, sugar";1559.0
"Mustapha Cocktail";" egg white, gin, crème de cassis, Rose's Lime Juice, Tabasco sauce";1560.0
"My Cocktail";" gin, Grand Marnier";1561.0
"My Own Cocktail";" gin, Cointreau, orange juice";1562.0
"Myrtle Bank Punch";" 151 proof rum, lime juice, maraschino liqueur, grenadine, sugar";1563.0
"My Sin Cocktail";" anisette, pastis, egg white, aromatic bitters";1564.0
"Nacional Cocktail";" white rum, lime juice, apricot flavored brandy";1565.0
"Naked Lady Cocktail";" sweet vermouth, white rum, lemon juice, apricot flavored brandy, grenadine";1566.0
"Napa Hiball";" gin, lemon juice, sugar";1567.0
"Naples Delight";" cream, crème de cacao, Galliano";1568.0
"Narragansett Cobbler";" Bourbon or rye whiskey, sugar";1569.0
"National Cocktail";" white rum, apricot flavored brandy, pineapple juice";1570.0
"National Cocktail Variation";" white rum, pineapple juice, lime juice, apricot flavored brandy";1571.0
"Natural Cocktail";" white rum, brandy, lemon juice, orgeat, grenadine";1572.0
"Naval Cocktail";" sweet vermouth, gin";1573.0
"Navy Grog";" dark rum, guava nectar, pineapple juice, orange juice, lime juice, white rum, falernum";1574.0
"Navy Grog Variation";" lime juice, Demerara rum, dark rum, grapefruit juice, Navy Grog mix, rock candy syrup";1575.0
"Neapolitan Cocktail";" white rum, Grand Marnier, Cointreau";1576.0
"Nectarine Cooler";" orange juice, vodka, sugar";1577.0
"Negrita Grog";" tea, Curaçao, white rum, brandy, sugar";1578.0
"Nelson's Blood";" white rum, butter";1579.0
"New Deal (nude Eel) Cocktail";" Yellow Chartreuse, Dubonnet, Cognac, gin";1580.0
"New Deal Cocktail #2";" Bourbon or rye whiskey, Amer Picon, sugar";1581.0
"New Life Cocktail";" Cointreau, white rum, pastis, lemon juice";1582.0
"New Orleans Gin Fizz";" gin, lemon juice, cream, lime juice, egg white, sugar, orange flower water";1583.0
"New Orleans Gin Fizz Variation";" kirsch";1584.0
"New Orleans Golden Fizz";" gin, lemon juice, cream, lime juice, egg yolk, sugar, orange flower water";1585.0
"New Orleans Trumpeter";" Bourbon, crème de menthe, sugar";1586.0
"Newport";" Galliano, orange juice, cream, crème de menthe";1587.0
"Newton's Apple Cocktail";" apple brandy, Curaçao, Angostura bitters";1588.0
"Newton's Special";" brandy, Cointreau, Angostura bitters";1589.0
"New Yorker Cocktail (classic)";" Bourbon, lemon juice, claret, sugar";1590.0
"New Yorker Cocktail Variation";" blended whiskey, lime juice, grenadine, sugar";1591.0
"New Yorker Cocktail #2";" dry vermouth, cocktail Sherry, gin, Cointreau";1592.0
"New Yorker (southern)";" Southern Comfort, lime juice";1593.0
"New Yorker (exotic)";" grapefruit juice, pisco, Galliano, lime juice, sugar";1594.0
"New Yorker Hiball";" Bourbon, claret, lemon juice, sugar";1595.0
"New York Experience";" triple sec, dry vermouth, Bourbon";1596.0
"New York Sour";" Bourbon or rye whiskey, lemon juice, sugar";1597.0
"Nick's Own Cocktail";" brandy, sweet vermouth, pastis, Angostura bitters";1598.0
"Nicky's Fizz";" gin, pineapple juice";1599.0
"Nicolaski (nicoloscar)";" brandy";1600.0
"Nicolaski (nicolashka) Variation";" coffee grounds or sugar, Cognac";1601.0
"Night Flight Cocktail";" Rhum Negrita, maple syrup, lime juice";1602.0
"Night Shade Cocktail";" Bourbon, orange juice, sweet vermouth, Yellow Chartreuse";1603.0
"Nine Pick Cocktail";" Curaçao, brandy, pastis, egg yolk";1604.0
"Nineteen Fourteen Cocktail";" gin, Curaçao, cream";1605.0
"Nineteen Twenty Cocktail";" gin, kirsch, dry vermouth, groseille syrup, orange bitters";1606.0
"Nineteen Twenty Cocktail Variation";" dry vermouth, kirsch, gin, pastis";1607.0
"Nineteen Twenty Cocktail #2";" rye whiskey, dry vermouth, sweet vermouth, orange bitters";1608.0
"Nineteen Twenty Hiball";" pastis, gin, sugar, orange bitters, Angostura bitters";1609.0
"Ninety Miles Cocktail";" applejack, sloe gin";1610.0
"None But The Brave Cocktail";" brandy, pimento dram, Jamaican rum, lemon juice, sugar";1611.0
"Noon Cocktail";" gin, egg white, orange juice, dry vermouth, sweet vermouth, aromatic bitters";1612.0
"Normandy Cocktail";" apple cider, brandy, apple brandy, gin";1613.0
"Northside Special";" orange juice, Myers's Rum, lemon juice, sugar";1614.0
"Northwest Passage";" Demerara rum, butter";1615.0
"Nourmahal Punch";" Jamaican rum, lime juice, Angostura bitters";1616.0
"Nude Eel (new Deal) Cocktail";" Yellow Chartreuse, Dubonnet, Cognac, gin";1617.0
"Nugent Cocktail";" white rum, egg white, lemon juice, sugar";1618.0
"Number 3 Cocktail";" gin, dry vermouth, anisette, orange bitters";1619.0
"Number 6 Cocktail";" gin, lemon wheel or orange wheel, sweet vermouth, Curaçao";1620.0
"Nuptial Cocktail";" gin, kirsch, orange juice, lemon juice, Curaçao";1621.0
"The Nut";" vodka, amaretto";1622.0
"Oasis Daiquiri";" orange juice, white rum, lemon juice, peach-flavored brandy liqueur";1623.0
"Oasis Cooler";" dry vermouth, gin, lemon juice";1624.0
"Obeah Princess";" Barbados rum, Galliano, egg white, crème de menthe";1625.0
"Ocean Shore Cocktail";" egg white, sloe gin, gin, lemon juice, orgeat";1626.0
"Ocho Rios Cocktail";" Jamaican rum, guava nectar, lime juice, cream, sugar";1627.0
"Oddball Cocktail";" pastis, orange juice";1628.0
"Of Course";" cream, brandy, amaretto";1629.0
"Off Shore Cocktail";" apple brandy, white rum, Swedish Punch/Punsch";1630.0
"O'hearn Special";" brandy";1631.0
"Ojen Cocktail";" soda or Ojen, Peychaud bitters";1632.0
"Olaffson's Punch";" Haitian rum, lime juice, orange juice, sugar";1633.0
